events,profile,perturbation,metric,variant,phrases,mean,std,median
1,independent,simultaneous,joint_cosine,cel_03,30,0.7712171257955671,0.16222990750566615,0.8382181380345948
1,independent,simultaneous,joint_cosine,cel_04,30,0.7340005675868017,0.10421255300110933,0.755482370775333
1,independent,simultaneous,joint_cosine,cel_05,30,0.8490482836613755,0.0583804035158489,0.8473288687165157
1,independent,simultaneous,joint_cosine,cel_06,30,0.806038474859341,0.08272200196843661,0.8379347997462919
1,independent,simultaneous,joint_cosine,cel_07,30,0.8504409091888582,0.0557888460046858,0.8349792237733998
1,independent,simultaneous,joint_cosine,cel_08,30,0.7928436245658472,0.10071828536247682,0.8160506659997183
1,independent,simultaneous,joint_cosine,cel_09,30,0.8200367428682163,0.1053718845607358,0.8375830757283789
1,independent,simultaneous,joint_cosine,cel_10,30,0.8463721662424668,0.05050763544522855,0.8524460571302891
1,independent,simultaneous,joint_cosine,cel_11,30,0.8156713578232403,0.11495705248641641,0.8537382633667272
1,independent,simultaneous,joint_cosine,cel_12,30,0.7499344721515259,0.09947046902836498,0.7689256487957186
1,independent,simultaneous,joint_cosine,cel_13,30,0.8502188626237496,0.0621723819587727,0.8554999203786751
1,independent,simultaneous,joint_cosine,cel_14,30,0.8063820953053042,0.08455438644550092,0.8370551619103898
1,independent,simultaneous,joint_cosine,cel_15,30,0.8530167448592904,0.05510058053234892,0.8480639835635313
1,independent,simultaneous,joint_cosine,cel_01_lw,30,0.7719052401530243,0.16173737750827102,0.8169773513712041
1,independent,simultaneous,joint_cosine,cel_02_lw,30,0.7476040830729965,0.16663050336264448,0.800461998966683
1,independent,simultaneous,joint_cosine,cel_03_lw,30,0.7684307834776215,0.16734671786826633,0.8283019152308351
1,independent,simultaneous,joint_cosine,cel_04_lw,30,0.7414273780300414,0.09782658068803086,0.7745389449674648
1,independent,simultaneous,joint_cosine,cel_05_lw,30,0.849206549964224,0.0582055279062176,0.8441656443789181
1,independent,simultaneous,joint_cosine,cel_06_lw,30,0.8454910321579998,0.05445755579117619,0.8432490545822785
