target_id,events,variant,pitch_mae_cents,onset_mae_ms,log_spectral_distance_db,joint_event_error,updates,wall_seconds,stopped_by,best_loss,f0_hz,onset_seconds
C08-T0077,8,clockwise,147.72720339944098,75.05292197707203,16.311141059245237,0.12450452467860106,1912,164.4629067927599,patience,0.011971437773769075,"[103.3575548603969, 149.12270479019622, 107.83041193797524, 159.30065927456093, 206.84093944781492, 98.3474419865098, 131.04444274096454, 299.5761750834967]","[0.2514837821467757, 0.5077149963448306, 0.5808895686909675, 1.0889956821374793, 1.2429961827370526, 1.2978264806585067, 1.3936728218361358, 1.5068020842397922]"
C08-T0078,8,clockwise,326.6626760329985,176.80390414230584,23.53435713174842,0.21697054956650513,922,64.49968168511987,patience,0.022948961264066488,"[203.111865075178, 161.01266496103779, 83.75824677370146, 135.68042076074482, 86.16801719345978, 175.2467085359953, 238.9178487029812, 293.7933919063874]","[0.5655650809398687, 0.48442185518974035, 0.45598096844223934, 0.832929556401371, 0.6032353004084153, 1.0983920538452674, 1.254680238440719, 1.6186734063636068]"
C08-T0079,8,clockwise,0.3998086946693295,0.03867875054364492,0.8543166498196725,0.00031064374272678994,3000,224.985228382051,maximum updates,7.559464316336176e-05,"[114.80256486894248, 113.8004302404087, 272.8077866505771, 199.58155403144536, 227.77348292190013, 200.3472656565121, 297.33441255474605, 91.76777144310677]","[0.21671932304290487, 0.39307232669289704, 0.4908705034315826, 0.7685278738170207, 1.1852626959660737, 1.0191960937320927, 1.2984896658940086, 1.7481583596834624]"
C08-T0080,8,clockwise,273.9426894679914,215.27822899448512,22.91150966691068,0.23047833117448632,1345,94.59375803172588,patience,0.02444558763084235,"[225.73123350529656, 246.98623544564444, 197.621193886294, 129.15968507401615, 120.41918487566562, 106.08798594880253, 98.94566314124037, 96.8333384979349]","[0.5810446004273937, 0.867579149111386, 0.9453133394183724, 1.1844335743888557, 1.3096479808777393, 0.9950689992565369, 1.0035704029269807, 1.5239152938334646]"
C08-T0081,8,clockwise,291.54406800442973,207.47627109057038,19.69817221316607,0.24965629080091056,1656,119.05021187290549,patience,0.01876023477905836,"[142.8490841788272, 267.41900238919476, 184.09426577592913, 114.00707343534, 134.71167492943312, 146.42153118063777, 190.4311946923056, 112.8117826214462]","[0.2930922067122652, 0.5305050841089455, 0.9662433377654824, 0.9121199522574284, 1.0768395548204048, 1.5809982375183875, 1.601470697117619, 1.68283610941549]"
C08-T0082,8,clockwise,194.80836416820756,104.48410698892098,11.856419547687283,0.17513522424024644,3000,213.03752255812287,maximum updates,0.013848198401171324,"[183.13412689619105, 180.0066610966325, 187.44736250957342, 151.0497515679193, 287.331505941865, 217.13446015398435, 133.3493740536475, 147.27617337505384]","[0.44674828010085693, 0.5144071139981787, 0.8555650013334983, 0.6049005172804984, 0.9228548007428954, 1.0782450002560926, 1.2284102669366193, 1.5576991393290316]"
C08-T0083,8,clockwise,323.1554709908263,157.66266403345614,18.35984335233571,0.25522108090426265,1210,95.09590741619468,patience,0.01935413492600712,"[130.52594124061818, 110.4179384168414, 97.83133268342837, 87.60607343248866, 87.94213474004188, 89.49194475681205, 188.93220126856966, 130.03362140813562]","[0.23189651213067414, 0.3768813486651326, 0.5487489868288264, 0.8237412199069805, 0.6455939501814107, 1.114721761661414, 1.1241067738233297, 1.6496730115910132]"
C08-T0084,8,clockwise,237.6687996239753,184.0301256776909,12.774128795906448,0.2504941111153556,1006,73.92638394422829,patience,0.01094091794420202,"[106.76364787364919, 150.17141392833392, 167.83537173148449, 208.59866017058914, 213.84945676193158, 157.03806044787913, 220.44661648472126, 85.75269374806666]","[0.2629335576671966, 0.48818239792888585, 0.6989697948651739, 0.7717075836872331, 0.8248922292358885, 1.6145874146459276, 1.7100986106049818, 1.7240681474042876]"
C08-T0085,8,clockwise,374.65863910471967,104.34123586044515,18.86195554922149,0.19292413623781796,1419,95.46516907960176,patience,0.021415143008463314,"[110.24385815348614, 173.22031011693332, 135.4373694923187, 227.06129174923032, 244.0474417422793, 246.76909727291212, 177.94047515985923, 98.63821842482723]","[0.21130222093583556, 0.5603900837162926, 0.6552545639611079, 0.8917249561211329, 1.0246831176787783, 1.6445545404005892, 1.6784985948997277, 1.484307208538204]"
C08-T0086,8,clockwise,0.00011960022979049309,2.288687606100126e-05,0.003287627891833461,6.805830026873639e-08,2432,176.35707488283515,patience,5.832530038804691e-08,"[192.46022484800196, 218.21686827829762, 261.4338273020957, 246.46540172451898, 182.4285627154776, 144.68966219316815, 84.42478824425238, 114.61143713534528]","[0.4129953260085276, 0.7014543372436293, 0.8806604859803622, 1.1284371334446694, 1.2139331445185826, 1.3600386324142975, 1.5270576559534745, 1.7214772701424976]"
C08-T0087,8,clockwise,200.54835770087362,73.57187152907343,13.19877468590671,0.14946863638698057,543,43.90039603039622,patience,0.015204597702432987,"[304.02815092537963, 260.5728285156183, 112.89564757519544, 187.9405430390002, 135.27098592926157, 256.6997037163394, 178.29390457858892, 191.88380864109894]","[0.3593969381967407, 0.6010616597262188, 0.8848881003688798, 1.1125953341188444, 1.18977779204699, 1.4573475945504455, 1.779480355088304, 1.7948494007120706]"
C08-T0088,8,clockwise,125.74515284545708,52.15002783607946,16.38547009809447,0.09566328048343109,2428,160.3329458720982,patience,0.010599914942052127,"[240.5665863962023, 305.4353377553275, 105.58845193406808, 175.6046256939232, 107.99591783925055, 116.58249560290015, 154.0406422295604, 300.00237481526665]","[0.5428566215010522, 0.8085824680577531, 1.067006094377738, 0.8668808570050497, 1.3462779456060492, 1.5859895633553382, 1.3750133461888823, 1.70712430793899]"
C08-T0089,8,clockwise,215.12161814529958,90.73276238965774,22.16522729012366,0.1639795265113421,1012,81.34604105725884,patience,0.013909278454235808,"[91.28493042048862, 113.29146364729318, 114.50392576344674, 122.54773821656583, 128.85720242747178, 188.4733283765726, 245.82298698416255, 290.9669128665643]","[0.3368828544887684, 0.5239420684803062, 0.6534918457530559, 0.9913875168316799, 1.1148344431011967, 1.326475048900013, 1.3553870428479677, 1.614433481907606]"
C08-T0090,8,clockwise,239.09760232912026,171.01396703368022,20.34692960867079,0.19831898883338422,2071,177.66067976504564,patience,0.015320914298495886,"[154.76465137613684, 162.9204183793348, 141.70396163776797, 229.7184559732784, 105.87629036432645, 150.45982767160086, 239.03507357632486, 293.8668865509423]","[0.2145710939404833, 0.42566307497037564, 0.4975015186885908, 1.2060000090087246, 0.8107572879073928, 1.4825686835372764, 1.5756696891442319, 1.5227273094950895]"
