case,variant,stage,loss,pitch_mae_cents,onset_mae_ms,joint_event_error,relative_waveform_l2,best_update,updates,wall_seconds
C08-T0000,uniform_eight,last,0.008194895932965044,107.88256293140552,72.602106642542,0.06906936762010073,1.1850879617427812,467,2400,154.1672708131373
C08-T0000,uniform_eight,final,0.005016214281344222,42.19835110218018,33.82259760309131,0.03486226305456852,1.4708124289495386,467,2400,154.1672708131373
C08-T0000,diagonal_control,baseline,0.007360697347433053,15.798138627157433,48.29996216552407,0.033943068273245856,1.4799508508056884,2138,2400,147.04633078724146
C08-T0000,diagonal_control,exploration_endpoint,0.007466793020053375,11.032671057118794,50.2051250323795,0.03419956424299401,1.2455267081516657,2138,2400,147.04633078724146
C08-T0000,diagonal_control,last,0.007302880141734341,10.041919317998556,49.816673618032354,0.03297455764459394,1.2666261980857416,2138,2400,147.04633078724146
C08-T0000,diagonal_control,final,0.007294686098596127,13.232285930894546,49.63672549582171,0.03334820535965675,1.184253205519706,2138,2400,147.04633078724146
C08-T0004,clockwise,baseline,0.016220893697117093,178.12344793934273,159.582511119701,0.14082152045165697,1.3641740095874635,0,2400,162.42549841105938
C08-T0004,clockwise,exploration_endpoint,0.03260350636444171,386.4272520781235,277.65777686024296,0.27957865962239986,1.3113878882834367,0,2400,162.42549841105938
C08-T0004,clockwise,last,0.02571912540790266,364.766437936162,309.7837091305293,0.2917100277520786,1.4955846383708076,0,2400,162.42549841105938
C08-T0004,clockwise,final,0.016220893697117093,178.12344793934273,159.582511119701,0.14082152045165697,1.3641740095874635,0,2400,162.42549841105938
C08-T0004,uniform_eight,baseline,0.016220893697117093,178.12344793934273,159.582511119701,0.14082152045165697,1.3641740095874635,286,2400,156.79982652887702
C08-T0004,uniform_eight,exploration_endpoint,0.019551785765989045,320.6430072802307,192.1711608544422,0.19992983079415647,1.3180558305432417,286,2400,156.79982652887702
C08-T0004,uniform_eight,last,0.0190444130066841,154.36316124733867,205.08055953585372,0.16895439026389697,1.3935527828081904,286,2400,156.79982652887702
C08-T0004,uniform_eight,final,0.016011908806342345,112.97857167667243,156.94821317427244,0.11350165681064844,1.2242847661574667,286,2400,156.79982652887702
C08-T0004,diagonal_control,baseline,0.016220893697117093,178.12344793934273,159.582511119701,0.14082152045165697,1.3641740095874635,1160,2400,150.51906522363424
C08-T0004,diagonal_control,exploration_endpoint,0.022629711447109586,238.80493403537832,240.93097668293913,0.19449500114181256,1.4328872373033175,1160,2400,150.51906522363424
C08-T0004,diagonal_control,last,0.023159109707523585,276.1697852472539,228.03231158923808,0.21783029606943083,1.4432550597314673,1160,2400,150.51906522363424
C08-T0004,diagonal_control,final,0.01371838291231342,184.55220615101672,140.38227025031594,0.12677040490419403,1.277874718992986,1160,2400,150.51906522363424
