profile,perturbation,metric,variant,directions,mean_percent,delta_pp
structured,isolated_pitch,pitch_directed,cel8_066_lw,↘ → + LW,99.75268817204301,2.5691745141254247
structured,isolated_pitch,pitch_directed,cel8_067,↗ ↘ →,97.96980398049823,0.7862903225806461
structured,isolated_pitch,pitch_directed,cel8_067_lw,↗ ↘ → + LW,99.62131837307153,2.4378047151539377
structured,isolated_pitch,pitch_directed,cel8_068,↖ →,97.53201596206505,0.3485023041474661
structured,isolated_pitch,pitch_directed,cel8_068_lw,↖ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_069,↗ ↖ →,97.18351365791759,0.0
structured,isolated_pitch,pitch_directed,cel8_069_lw,↗ ↖ → + LW,99.37938288920056,2.1958692312829737
structured,isolated_pitch,pitch_directed,cel8_070,↘ ↖ →,97.62130167635075,0.4377880184331773
structured,isolated_pitch,pitch_directed,cel8_070_lw,↘ ↖ → + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_071,↗ ↘ ↖ →,97.18351365791759,0.0
structured,isolated_pitch,pitch_directed,cel8_071_lw,↗ ↘ ↖ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_072,↙ →,97.95481971715755,0.7713060592399623
structured,isolated_pitch,pitch_directed,cel8_072_lw,↙ → + LW,99.62584735857878,2.442333700661184
structured,isolated_pitch,pitch_directed,cel8_073,↗ ↙ →,97.97844453349363,0.7949308755760359
structured,isolated_pitch,pitch_directed,cel8_073_lw,↗ ↙ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_074,↘ ↙ →,99.30629821178121,2.122784553863613
structured,isolated_pitch,pitch_directed,cel8_074_lw,↘ ↙ → + LW,99.64936886395512,2.4658552060375287
structured,isolated_pitch,pitch_directed,cel8_075,↗ ↘ ↙ →,98.14837540906966,0.9648617511520741
structured,isolated_pitch,pitch_directed,cel8_075_lw,↗ ↘ ↙ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_076,↖ ↙ →,97.88915881920789,0.705645161290322
structured,isolated_pitch,pitch_directed,cel8_076_lw,↖ ↙ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_077,↗ ↖ ↙ →,97.18351365791759,0.0
structured,isolated_pitch,pitch_directed,cel8_077_lw,↗ ↖ ↙ → + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_078,↘ ↖ ↙ →,98.14837540906966,0.9648617511520741
structured,isolated_pitch,pitch_directed,cel8_078_lw,↘ ↖ ↙ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_079,↗ ↘ ↖ ↙ →,97.44273024777934,0.2592165898617521
structured,isolated_pitch,pitch_directed,cel8_079_lw,↗ ↘ ↖ ↙ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_080,↑ →,99.70196353436185,2.518449876444262
structured,isolated_pitch,pitch_directed,cel8_080_lw,↑ → + LW,99.58602150537634,2.402507847458757
structured,isolated_pitch,pitch_directed,cel8_081,↗ ↑ →,97.7998731049222,0.616359447004608
structured,isolated_pitch,pitch_directed,cel8_081_lw,↗ ↑ → + LW,99.89130434782608,2.707790689908496
structured,isolated_pitch,pitch_directed,cel8_082,↘ ↑ →,99.54067321178121,2.357159553863614
